Category,Article Title,URL,Real_Git_Date,Frontmatter_Date,Impressions_28d,Clicks_28d,Avg_Position,Bucket,Action,Impressions_90d_GSC,Clicks_90d_GSC,GSC_Note_2026-08-17
Room Makeovers,Afrobohemian Decor Ideas for UK Homes,https://britishhomeinterior.co.uk/blog/afrobohemian-decor-ideas-uk,2026-08-05,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Living Room,Cosy Autumn Home Decor Ideas UK,https://britishhomeinterior.co.uk/blog/autumn-home-decor-ideas-uk,2026-06-29,,5,0,45.0,D - Steady / building authority,MONITOR,5,0,
Room Makeovers,Bathroom Colour Ideas UK 2026,https://britishhomeinterior.co.uk/blog/bathroom-colour-ideas-uk,2026-08-06,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,Small Bathroom Storage Ideas UK,https://britishhomeinterior.co.uk/blog/bathroom-storage-ideas-uk,2026-07-25,,17,0,27.2,D - Steady / building authority,MONITOR,17,0,
Bedroom,Bedroom Colour Ideas UK 2026,https://britishhomeinterior.co.uk/blog/bedroom-colour-ideas-uk,2026-06-29,,535,0,46.1,"B - High impr, bad position (rewrite priority)","REWRITE-RETARGET: 535 impr/90d, positions 38-45 across ""bedroom colour inspiration"" (43), ""bedroom colour ideas"" (37), ""bedroom paint colours"" (33), ""bedroom wall colours"" (22). Consistent demand across many near-synonym colour-scheme phrasings, all stuck mid-page-4/5 -- same authority-ceiling pattern as the kitchen page.",535,0,see Action
Bedroom,12 Bedroom Decor Ideas for UK Homes,https://britishhomeinterior.co.uk/blog/bedroom-decor-ideas-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Bedroom,Bedroom Lighting Ideas for UK Rentals,https://britishhomeinterior.co.uk/blog/bedroom-lighting-ideas-uk,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Room Makeovers,13 Bedroom Makeover Ideas UK,https://britishhomeinterior.co.uk/blog/bedroom-makeover-uk,2026-06-30,,3,0,20.0,"C - Good position, low volume (leave alone)",MONITOR (good position),3,0,
Room Makeovers,Budget Home Makeover UK Under £150,https://britishhomeinterior.co.uk/blog/budget-home-makeover-uk,2026-06-29,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Kitchen,Budget Kitchen Cabinet Makeover UK,https://britishhomeinterior.co.uk/blog/budget-kitchen-cabinet-makeover-uk,2026-07-27,,236,0,53.9,D - Steady / building authority,"MONITOR/IMPROVE: 236 impr/90d, real distinct cluster around ""kitchen cabinet makeover"" (47), ""kitchen cabinet refacing"" (15), ""kitchen cabinet refinishing"" (11), ""kitchen cupboard refurbishment"" (10) -- a genuinely separate intent (technique-specific) from kitchen-on-a-budget-uk's whole-kitchen framing, confirmed by reading the query list, not assumed. Shares ""kitchen makeover budget"" query with kitchen-on-a-budget-uk -- watch, don't merge.",236,0,see Action
