order,slug,image_url,caption,posted
1,"afrobohemian-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/01-afrobohemian-decor-ideas-uk.jpg","Before and after, all reversible 👇

Affordable Afrobohemian and global-inspired decor ideas for UK renters and homeowners, using budget-friendly UK retailers. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter #globalinspireddecor #renterfriendly",
2,"autumn-home-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/02-autumn-home-decor-ideas-uk.jpg","Small living room — worked with what we had 👇

How to make your UK home feel autumnal. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #livingroomideas #cosyliving #smalllivingroom",
3,"bathroom-colour-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/03-bathroom-colour-ideas-uk.jpg","Before and after, all reversible 👇

The best paint and tile colours for British bathrooms. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
4,"bathroom-storage-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/04-bathroom-storage-ideas-uk.jpg","One room, one weekend, under budget.

Where to buy bathroom storage that works in a small UK rental: 12 no-drill ideas with real £ prices from Amazon UK, IKEA, and Dunelm. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
5,"bedroom-colour-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/05-bedroom-colour-ideas-uk.jpg","Cosy, deposit-safe, done in a weekend.

The best paint colours for British bedrooms in 2026. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
6,"bedroom-decor-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/06-bedroom-decor-ideas-uk.jpg","Cosy, deposit-safe, done in a weekend.

12 bedroom decor ideas for British homes covering colour, bedding, lighting, storage and styling. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
7,"bedroom-lighting-ideas-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/07-bedroom-lighting-ideas-uk.jpg","Warmed up a rented bedroom — walls untouched 👇

Cosy, deposit-safe bedroom lighting ideas for UK renters. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #bedroomideas #cosybedroom #smallbedroom",
8,"bedroom-makeover-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/08-bedroom-makeover-uk.jpg","What actually moved the needle in here.

13 bedroom makeover ideas for UK homes. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
9,"budget-home-makeover-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/09-budget-home-makeover-uk.jpg","Before and after, all reversible 👇

A room-by-room budget makeover framework for UK homes. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #homemakeover #budgetmakeover #beforeandafter",
10,"budget-kitchen-cabinet-makeover-uk","https://raw.githubusercontent.com/badreddineX/British-home.BLOG/main/social-posts/ready-UK/10-budget-kitchen-cabinet-makeover-uk.jpg","The £-total that reads as a full makeover.

Four affordable UK kitchen cabinet options compared. Prices in £, renter-friendly, no renovation.

Full guide — link in bio.

#ukhome #ukinteriors #rentedhome #homedecoruk #smallspaceuk #budgetkitchen #kitchenmakeover #ukkitchen",
